id,district_id,name,name_si,name_ta,postcode,latitude,longitude,status
1,1,Akkaraipattu,අක්කරපත්තුව,NULL,32400,7.2167,81.85,1
2,1,Ambagahawatta,අඹගහවත්ත,NULL,90326,7.4,81.3,1
3,1,Ampara,අම්පාර,அம்பாறை,32000,7.2833,81.6667,1
4,1,Bakmitiyawa,බක්මිටියාව,NULL,32024,7.026268,81.633832,1
5,1,Deegawapiya,දීඝවාපිය,NULL,32006,7.2833,81.6667,1
6,1,Devalahinda,දෙවලහිඳ,NULL,32038,7.1889,81.5778,1
7,1,Digamadulla Weeragoda,දිගාමඩුල්ල වීරගොඩ,NULL,32008,7.2833,81.6667,1
8,1,Dorakumbura,දොරකුඹුර,NULL,32104,7.358849,81.280133,1
9,1,Gonagolla,ගොනගොල්ල,NULL,32064,7.449853,81.618014,1
10,1,Hulannuge,හුලංනුගේ,NULL,32514,7.4,81.3,1
11,1,Kalmunai,කල්මුණේ,NULL,32300,7.413897,81.826718,1
12,1,Kannakipuram,කන්නකිපුරම්,NULL,32405,7.2167,81.85,1
13,1,Karativu,කරතිව්,NULL,32250,7.3833,81.8333,1
14,1,Kekirihena,කැකිරිහේන,NULL,32074,7.490724,81.310836,1
15,1,Koknahara,කොක්නහර,NULL,32035,7.184832,81.555806,1
16,1,Kolamanthalawa,කෝලමන්තලාව,NULL,32102,7.351733,81.249913,1
17,1,Komari,කෝමාරි,NULL,32418,6.976958,81.78883,1
18,1,Lahugala,ලාහුගල,NULL,32512,7.415566,81.33954,1
19,1,Irakkamam,ඉරක්කමම්,NULL,32450,7.1125,81.8542,1
20,1,Mahaoya,මහඔය,NULL,32070,7.535248,81.351145,1
21,1,Marathamune,මාරත්මුනේ,NULL,32314,7.45,81.8167,1
22,1,Namaloya,නාමල්ඔය,NULL,32037,7.1889,81.5778,1
23,1,Navithanveli,නාවිදන්වෙලි,NULL,32308,7.4333,81.7833,1
24,1,Nintavur,නින්දවූර්,NULL,32340,7.35,81.85,1
25,1,Oluvil,ඔළුවිල,NULL,32360,7.2833,81.85,1
26,1,Padiyatalawa,පදියතලාව,NULL,32100,7.4,81.2333,1
27,1,Pahalalanda,පහලලන්ද,NULL,32034,7.21752,81.578714,1
28,1,Panama,පානම,NULL,32508,6.812201,81.712237,1
29,1,Pannalagama,පන්නලගම,NULL,32022,7.0667,81.6167,1
30,1,Paragahakele,පරගහකැලේ,NULL,32031,7.25669,81.609526,1
31,1,Periyaneelavanai,පෙරියනීලවන්නි,NULL,32316,7.434002,81.814169,1
32,1,Polwaga Janapadaya,පොල්වග ජනපදය,NULL,32032,7.1889,81.5778,1
33,1,Pottuvil,පොතුවිල්,NULL,32500,6.8667,81.8333,1
34,1,Sainthamaruthu,සායින්දමරුදු,NULL,32280,7.3833,81.8333,1
35,1,Samanthurai,සමන්තුරේ,சம்மாந்துறை,32200,7.3833,81.8333,1
36,1,Serankada,සේරන්කද,NULL,32101,7.464517,81.263599,1
37,1,Tempitiya,ටැම්පිටිය,NULL,32072,7.610374,81.429907,1
38,1,Thambiluvil,ල්තැඹිළුවි,NULL,32415,7.132227,81.819074,1
39,1,Tirukovil,තිරුකෝවිල,NULL,32420,7.1167,81.85,1
40,1,Uhana,උහන,NULL,32060,7.363281,81.637746,1
41,1,Wadinagala,වඩිනාගල,NULL,32039,7.127849,81.56922,1
42,1,Wanagamuwa,වනගමුව,NULL,32454,7.1125,81.8542,1
43,2,Angamuwa,අංගමුව,NULL,50248,8.177645,80.205048,1
44,2,Anuradhapura,අනුරාධපුරය,NULL,50000,8.35,80.3833,1
45,2,Awukana,අව්කන,NULL,50169,7.9753,80.5266,1
46,2,Bogahawewa,බෝගහවැව,NULL,50566,8.328993,80.251702,1
47,2,Dematawewa,දෙමටවැව,NULL,50356,8.357373,80.870087,1
48,2,Dimbulagala,දිඹුලාගල,NULL,51031,7.9167,80.55,1
49,2,Dutuwewa,දුටුවැව,NULL,50393,8.65,80.5167,1
50,2,Elayapattuwa,ඇලයාපත්තුව,NULL,50014,8.413522,80.318148,1
51,2,Ellewewa,ඇල්ලේවැව,NULL,51034,7.9167,80.55,1
52,2,Eppawala,එප්පාවල,NULL,50260,8.1167,80.7333,1
53,2,Etawatunuwewa,ඇතාවැටුනවැව,NULL,50584,8.5595,80.5476,1
54,2,Etaweeragollewa,ඇතාවීරගොලෑව,NULL,50518,8.613962,80.539713,1
55,2,Galapitagala,ගලපිටගල,NULL,32066,8.089843,80.685528,1
56,2,Galenbindunuwewa,ගලෙන්බිඳුනුවැව,NULL,50390,8.5833,80.55,1
57,2,Galkadawala,ගල්කඩවල,NULL,50006,8.412861,80.378175,1
58,2,Galkiriyagama,ගල්කිරියාගම,NULL,50120,7.9414,80.565,1
59,2,Galkulama,ගල්කුලම,NULL,50064,8.270414,80.506526,1
60,2,Galnewa,ගල්නෑව,NULL,50170,8.2,80.3667,1
61,2,Gambirigaswewa,ගම්බිරිගස්වැව,NULL,50057,8.4667,80.3667,1
62,2,Ganewalpola,ගනේවල්පොල,NULL,50142,8.090528,80.628195,1
63,2,Gemunupura,ගැමුණුපුර,NULL,50224,8.0667,80.6833,1
64,2,Getalawa,ගෙතලාව,NULL,50392,8.6167,80.5333,1
65,2,Gnanikulama,ඝාණිකුළම,NULL,50036,8.297336,80.431753,1
66,2,Gonahaddenawa,ගෝනහද්දෙනෑව,NULL,50554,8.5333,80.5083,1
67,2,Habarana,හබරන,NULL,50150,8.047531,80.748664,1
68,2,Halmillawa Dambulla,හල්මිලෑව දඹුල්ල,NULL,50124,7.9474,80.594,1
69,2,Halmillawetiya,හල්මිල්ලවැටිය,NULL,50552,8.35,80.2667,1
70,2,Hidogama,හිද්දෝගම,NULL,50044,8.250421,80.418663,1
71,2,Horawpatana,හොරොව්පතාන,NULL,50350,8.4333,80.8667,1
72,2,Horiwila,හොරිවිල,NULL,50222,8.0667,80.6833,1
73,2,Hurigaswewa,හුරිගස්වැව,NULL,50176,8.1333,80.3667,1
74,2,Hurulunikawewa,හුරුලුනිකවැව,NULL,50394,8.6167,80.5333,1
75,2,Ihala Puliyankulama,ඉහල පුලියන්කුලම,NULL,61316,8.153213,80.559989,1
76,2,Kagama,කගම,NULL,50282,8.061465,80.478039,1
77,2,Kahatagasdigiliya,කහටගස්දිගිලිය,NULL,50320,8.4167,80.6833,1
78,2,Kahatagollewa,කහටගොල්ලෑව,NULL,50562,8.45,80.65,1
79,2,Kalakarambewa,කලකරඹෑව,NULL,50288,8.0833,80.4667,1
80,2,Kalaoya,කලාඔය,NULL,50226,8.0667,80.6833,1
81,2,Kalawedi Ulpotha,කලාවැදි උල්පොත,NULL,50556,8.5333,80.5083,1
